1Jb1,1.3,200,100,0.9,2,0.6,20
2Jb1,1.8,200,100,0.9,2,0.6,20
3Jb1,3.4,200,100,0.9,2,0.6,20
1Kb1,1.3,300,100,0.9,2,0.6,20
2Kb1,1.8,300,100,0.9,2,0.6,20
3Kb1,3.4,300,100,0.9,2,0.6,20
1Lb1,1.3,400,100,0.9,2,0.6,20
2Lb1,1.8,400,100,0.9,2,0.6,20
3Lb1,3.4,400,100,0.9,2,0.6,20
1Mb1,1.3,200,200,0.9,2,0.6,20
2Mb1,1.8,200,200,0.9,2,0.6,20
3Mb1,3.4,200,200,0.9,2,0.6,20
1Nb1,1.3,300,200,0.9,2,0.6,20
2Nb1,1.8,300,200,0.9,2,0.6,20
3Nb1,3.4,300,200,0.9,2,0.6,20
1Ob1,1.3,400,200,0.9,2,0.6,20
2Ob1,1.8,400,200,0.9,2,0.6,20
3Ob1,3.4,400,200,0.9,2,0.6,20
1Pb1,1.3,200,300,0.9,2,0.6,20
2Pb1,1.8,200,300,0.9,2,0.6,20
3Pb1,3.4,200,300,0.9,2,0.6,20
1Qb1,1.3,300,300,0.9,2,0.6,20
2Qb1,1.8,300,300,0.9,2,0.6,20
3Qb1,3.4,300,300,0.9,2,0.6,20
1Rb1,1.3,400,300,0.9,2,0.6,20
2Rb1,1.8,400,300,0.9,2,0.6,20
3Rb1,3.4,400,300,0.9,2,0.6,20
1Sb1,1.3,200,100,1.2,2,0.6,20
2Sb1,1.8,200,100,1.2,2,0.6,20
3Sb1,3.4,200,100,1.2,2,0.6,20
1Tb1,1.3,300,100,1.2,2,0.6,20
2Tb1,1.8,300,100,1.2,2,0.6,20
3Tb1,3.4,300,100,1.2,2,0.6,20
1Ub1,1.3,400,100,1.2,2,0.6,20
2Ub1,1.8,400,100,1.2,2,0.6,20
3Ub1,3.4,400,100,1.2,2,0.6,20
1Vb1,1.3,200,200,1.2,2,0.6,20
2Vb1,1.8,200,200,1.2,2,0.6,20
3Vb1,3.4,200,200,1.2,2,0.6,20
1Wb1,1.3,300,200,1.2,2,0.6,20
2Wb1,1.8,300,200,1.2,2,0.6,20
3Wb1,3.4,300,200,1.2,2,0.6,20
1Xb1,1.3,400,200,1.2,2,0.6,20
2Xb1,1.8,400,200,1.2,2,0.6,20
3Xb1,3.4,400,200,1.2,2,0.6,20
1Yb1,1.3,200,300,1.2,2,0.6,20
2Yb1,1.8,200,300,1.2,2,0.6,20
3Yb1,3.4,200,300,1.2,2,0.6,20
1Zb1,1.3,300,300,1.2,2,0.6,20
2Zb1,1.8,300,300,1.2,2,0.6,20
3Zb1,3.4,300,300,1.2,2,0.6,20
1AAb1,1.3,400,300,1.2,2,0.6,20
2AAb1,1.8,400,300,1.2,2,0.6,20
3AAb1,3.4,400,300,1.2,2,0.6,20
1Ac1,1.3,200,100,0.665,3,0.6,20
2Ac1,1.8,200,100,0.665,3,0.6,20
3Ac1,3.4,200,100,0.665,3,0.6,20
1Bc1,1.3,300,100,0.665,3,0.6,20
2Bc1,1.8,300,100,0.665,3,0.6,20
3Bc1,3.4,300,100,0.665,3,0.6,20
1Cc1,1.3,400,100,0.665,3,0.6,20
2Cc1,1.8,400,100,0.665,3,0.6,20
3Cc1,3.4,400,100,0.665,3,0.6,20
1Dc1,1.3,200,200,0.665,3,0.6,20
2Dc1,1.8,200,200,0.665,3,0.6,20
3Dc1,3.4,200,200,0.665,3,0.6,20
1Ec1,1.3,300,200,0.665,3,0.6,20
2Ec1,1.8,300,200,0.665,3,0.6,20
3Ec1,3.4,300,200,0.665,3,0.6,20
1Fc1,1.3,400,200,0.665,3,0.6,20
2Fc1,1.8,400,200,0.665,3,0.6,20
3Fc1,3.4,400,200,0.665,3,0.6,20
1Gc1,1.3,200,300,0.665,3,0.6,20
2Gc1,1.8,200,300,0.665,3,0.6,20
3Gc1,3.4,200,300,0.665,3,0.6,20
1Hc1,1.3,300,300,0.665,3,0.6,20
2Hc1,1.8,300,300,0.665,3,0.6,20
3Hc1,3.4,300,300,0.665,3,0.6,20
1Ic1,1.3,400,300,0.665,3,0.6,20
2Ic1,1.8,400,300,0.665,3,0.6,20
3Ic1,3.4,400,300,0.665,3,0.6,20
1Jc1,1.3,200,100,0.9,3,0.6,20
2Jc1,1.8,200,100,0.9,3,0.6,20
3Jc1,3.4,200,100,0.9,3,0.6,20
1Kc1,1.3,300,100,0.9,3,0.6,20
2Kc1,1.8,300,100,0.9,3,0.6,20
3Kc1,3.4,300,100,0.9,3,0.6,20
1Lc1,1.3,400,100,0.9,3,0.6,20
2Lc1,1.8,400,100,0.9,3,0.6,20
3Lc1,3.4,400,100,0.9,3,0.6,20
