0,0,0,0,0,0,0,0,0,0,0,0
4122.06,3776.55,6172.19,6644.45,7493.27,7562.89,7446.99,7261,6386.24,5860.4,5273.6,4402.05
1.76,1.45,1.3,0.86,0.51,0.24,0.19,0.34,0.65,1.08,1.41,1.71
128.7,122.35,181.14,189.36,218.75,203.39,216.01,240.47,195.42,196.62,136.1,97.56
1.16,0.57,0.06,0.09,0.01,0,0,0,0.09,0.08,0.19,0.27
1.05,0.31,0.01,0,0,0.13,0.73,0.23,0.29,0.01,0,0.16
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
246.24,256.8,456.87,551.39,728.72,796.16,881.25,756.81,588.32,442.58,310.12,223.13
