0,0,0,0,0,0,0,0,0,0,0,0
3837.57,3511.56,5842.72,6287,7099.72,7159.76,7027.04,6868.02,6032.06,5536.58,4989.29,4115.9
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
85.96,79.87,116.59,120.07,136.65,126,131.91,147.01,120.29,123.92,90.37,67.03
1.49,0.78,0.1,0.12,0.01,0.01,0,0,0.13,0.13,0.27,0.4
1.45,0.51,0.01,0.01,0.01,0.18,1.09,0.31,0.48,0.01,0,0.24
0,0,0,0,0,0,0,0,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
169.72,176.48,318.4,382.28,502.63,548.21,602.72,519.59,404.15,306.53,218.63,157.74
