0,0,0,0,0,0,0,0,0,0,0,0
3488.08,3203.98,5362.11,5775.9,6543.42,6614.51,6511.72,6320.27,5539.68,5072.04,4530.65,3750.18
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
136.96,127.91,188.71,196.71,227.09,210.9,222.65,250.53,204.97,207.98,145.39,102.86
1.08,0.55,0.03,0.06,0,0,0,0,0.04,0.04,0.12,0.24
1.1,0.39,0.01,0,0,0.12,0.8,0.22,0.27,0.01,0,0.16
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
242.16,251.81,449.85,542.14,716.01,782.16,865.02,743.72,578.38,435.4,306.01,218.98
