0,0,0,0,0,0,0,0,0,0,0,0
3749.52,3434.54,5740.07,6185.71,7007.44,7089.48,6977.7,6804.07,5971.14,5452.16,4885.06,4017.28
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
130.21,124.4,185.73,195.32,226.83,210.84,223.57,248.06,200.36,200.55,139.3,99.77
1.49,0.79,0.11,0.13,0.01,0.01,0.01,0.01,0.16,0.15,0.28,0.4
1.4,0.47,0,0,0,0.14,1.01,0.25,0.43,0.01,0,0.22
0,0,0,0,0,0,0,0,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
241.5,252.53,451.54,545.6,722.59,789.74,874.57,750.72,582.58,437.41,305.19,218.22
