0,0,0,0,0,0,0,0,0,0,0,0
3685.91,3374.6,5640.04,6079.92,6882.13,6969.44,6863.37,6691.94,5881.87,5367.39,4804.83,3950.38
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
130.57,124.82,186.37,195.61,227.86,211.9,224.81,249.23,201.24,201.89,139.46,99.85
1.48,0.78,0.11,0.13,0.01,0.01,0.01,0.01,0.16,0.15,0.28,0.4
1.39,0.46,0,0,0,0.14,1.01,0.24,0.42,0.01,0,0.22
0,0,0,0,0,0,0,0.01,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
242.4,253.05,452.63,546.84,724.58,791.88,876.98,752.69,584.12,438.3,305.96,219
