0,0,0,0,0,0,0,0,0,0,0,0
4041.25,3697.16,6161.51,6639.72,7509.96,7595.24,7478.25,7304.32,6405.51,5857.86,5251.53,4324.96
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
122.3,117.19,174.2,182.52,211.76,196.8,209.69,232.63,187.99,188.44,129.39,92.19
1.75,0.94,0.17,0.18,0.02,0.02,0.01,0.03,0.24,0.23,0.39,0.52
1.83,0.66,0.02,0.01,0.01,0.29,1.59,0.51,0.74,0.02,0,0.3
0,0,0,0,0,0,0.12,0.11,0.14,0.02,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
239.55,250.8,449.25,543.16,720.38,787.87,872.91,748.82,580.76,434.98,302.31,216.11
