0,0,0,0,0,0,0,0,0,0,0,0
3191.37,2940.66,4916.47,5318.73,6028.83,6099.2,6008.16,5812.5,5096.83,4645.92,4140.09,3444.88
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
138.21,128.4,189.22,197.33,228.58,212.66,223.83,251.04,205.98,209.33,146.91,103.79
0.77,0.35,0,0.03,0,0,0,0,0.01,0.01,0.05,0.14
1,0.33,0.01,0,0,0.09,0.64,0.18,0.2,0.01,0,0.14
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
242.42,251.7,447.99,538.72,709.99,774.84,856.52,736.9,575.34,434.18,306.27,219.68
