0,0,0,0,0,0,0,0,0,0,0,0
3868.48,3530.21,5790.76,6194.48,6948.47,6979.52,6838.58,6685.45,5927.79,5479.45,4971.15,4136.06
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
125.45,120.23,179.98,189.5,220.47,205.43,218.79,242.64,195.78,195.81,133.69,94.94
1.53,0.81,0.11,0.13,0.01,0.01,0,0.01,0.15,0.14,0.28,0.42
1.6,0.57,0.01,0.01,0.01,0.18,1.09,0.32,0.5,0.01,0,0.25
0,0,0,0,0,0,0,0.01,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
241.64,252.76,452.94,548.12,726.12,794.07,879.27,754.64,585.35,438.84,305.91,218.35
