0,0,0,0,0,0,0,0,0,0,0,0
3869.84,3537.16,5831.16,6257.31,7042.07,7089.31,6956.23,6791.73,5998.92,5522.2,4992.05,4139.62
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
126.16,120.6,179.92,189.1,219.45,204.25,217.28,241.47,195.23,195.68,134.1,95.44
1.53,0.81,0.11,0.13,0.01,0.01,0,0.01,0.15,0.15,0.28,0.42
1.57,0.56,0.01,0.01,0.01,0.2,1.16,0.34,0.52,0.01,0,0.25
0,0,0,0,0,0,0.01,0.01,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
241.67,252.7,452.53,547.52,725.22,793.05,878.16,753.6,584.68,438.41,305.71,218.34
