0,0,0,0,0,0,0,0,0,0,0,0
3871.34,3548.49,5907.93,6372.52,7210.4,7282.53,7156.32,6980.73,6122.21,5600.81,5036.63,4151.54
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
115.28,108.77,161.78,168.86,193.94,179.6,189.73,212.41,172.18,174.6,122.57,88.52
2.19,1.16,0.16,0.18,0.02,0.01,0.01,0.01,0.22,0.21,0.41,0.6
1.5,0.54,0.01,0.01,0.01,0.21,1.22,0.35,0.53,0.01,0,0.24
0,0,0,0,0,0,0.01,0.01,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
229.07,237.83,430.2,515.51,676.11,736.86,808.84,698.56,543.78,413.35,296.36,214.09
